"url"	"year"	"roles"	"notes"
"https://eljinmarbles.bandcamp.com/album/cool-fires-songs-of-l-a-art-at-midcentury"	 2023	 "mastering"
"https://paperjaysesp.bandcamp.com/album/paper-jays"	 2024	 "mastering"	"ESP Disk"
